x
Log(L)
Log(MW)
Turn_Freq
Gravy_Index
Aliphatic_Index
Total_Charge
C_Freq_SS3
E_Freq_SS3
H_Freq_SS3
CC_Freq_SS3
EC_Freq_SS3
HC_Freq_SS3
CE_Freq_SS3
EE_Freq_SS3
HE_Freq_SS3
CH_Freq_SS3
EH_Freq_SS3
HH_Freq_SS3
CCC_Freq_SS3
ECC_Freq_SS3
HCC_Freq_SS3
CEC_Freq_SS3
EEC_Freq_SS3
HEC_Freq_SS3
CHC_Freq_SS3
EHC_Freq_SS3
HHC_Freq_SS3
CCE_Freq_SS3
ECE_Freq_SS3
HCE_Freq_SS3
CEE_Freq_SS3
EEE_Freq_SS3
HEE_Freq_SS3
CHE_Freq_SS3
EHE_Freq_SS3
HHE_Freq_SS3
CCH_Freq_SS3
ECH_Freq_SS3
HCH_Freq_SS3
CEH_Freq_SS3
EEH_Freq_SS3
HEH_Freq_SS3
CHH_Freq_SS3
EHH_Freq_SS3
HHH_Freq_SS3
B_Freq_SS8
C_Freq_SS8
E_Freq_SS8
G_Freq_SS8
H_Freq_SS8
I_Freq_SS8
S_Freq_SS8
T_Freq_SS8
BB_Freq_SS8
CB_Freq_SS8
EB_Freq_SS8
GB_Freq_SS8
HB_Freq_SS8
IB_Freq_SS8
SB_Freq_SS8
TB_Freq_SS8
BC_Freq_SS8
CC_Freq_SS8
EC_Freq_SS8
GC_Freq_SS8
HC_Freq_SS8
IC_Freq_SS8
SC_Freq_SS8
TC_Freq_SS8
BE_Freq_SS8
CE_Freq_SS8
EE_Freq_SS8
GE_Freq_SS8
HE_Freq_SS8
IE_Freq_SS8
SE_Freq_SS8
TE_Freq_SS8
BG_Freq_SS8
CG_Freq_SS8
EG_Freq_SS8
GG_Freq_SS8
HG_Freq_SS8
IG_Freq_SS8
SG_Freq_SS8
TG_Freq_SS8
BH_Freq_SS8
CH_Freq_SS8
EH_Freq_SS8
GH_Freq_SS8
HH_Freq_SS8
IH_Freq_SS8
SH_Freq_SS8
TH_Freq_SS8
BI_Freq_SS8
CI_Freq_SS8
EI_Freq_SS8
GI_Freq_SS8
HI_Freq_SS8
II_Freq_SS8
SI_Freq_SS8
TI_Freq_SS8
BS_Freq_SS8
CS_Freq_SS8
ES_Freq_SS8
GS_Freq_SS8
HS_Freq_SS8
IS_Freq_SS8
SS_Freq_SS8
TS_Freq_SS8
BT_Freq_SS8
CT_Freq_SS8
ET_Freq_SS8
GT_Freq_SS8
HT_Freq_SS8
IT_Freq_SS8
ST_Freq_SS8
TT_Freq_SS8
BBB_Freq_SS8
CBB_Freq_SS8
EBB_Freq_SS8
GBB_Freq_SS8
HBB_Freq_SS8
IBB_Freq_SS8
SBB_Freq_SS8
TBB_Freq_SS8
BCB_Freq_SS8
CCB_Freq_SS8
ECB_Freq_SS8
GCB_Freq_SS8
HCB_Freq_SS8
ICB_Freq_SS8
SCB_Freq_SS8
TCB_Freq_SS8
BEB_Freq_SS8
CEB_Freq_SS8
EEB_Freq_SS8
GEB_Freq_SS8
HEB_Freq_SS8
IEB_Freq_SS8
SEB_Freq_SS8
TEB_Freq_SS8
BGB_Freq_SS8
CGB_Freq_SS8
EGB_Freq_SS8
GGB_Freq_SS8
HGB_Freq_SS8
IGB_Freq_SS8
SGB_Freq_SS8
TGB_Freq_SS8
BHB_Freq_SS8
CHB_Freq_SS8
EHB_Freq_SS8
GHB_Freq_SS8
HHB_Freq_SS8
IHB_Freq_SS8
SHB_Freq_SS8
THB_Freq_SS8
BIB_Freq_SS8
CIB_Freq_SS8
EIB_Freq_SS8
GIB_Freq_SS8
HIB_Freq_SS8
IIB_Freq_SS8
SIB_Freq_SS8
TIB_Freq_SS8
BSB_Freq_SS8
CSB_Freq_SS8
ESB_Freq_SS8
GSB_Freq_SS8
HSB_Freq_SS8
ISB_Freq_SS8
SSB_Freq_SS8
TSB_Freq_SS8
BTB_Freq_SS8
CTB_Freq_SS8
ETB_Freq_SS8
GTB_Freq_SS8
HTB_Freq_SS8
ITB_Freq_SS8
STB_Freq_SS8
TTB_Freq_SS8
BBC_Freq_SS8
CBC_Freq_SS8
EBC_Freq_SS8
GBC_Freq_SS8
HBC_Freq_SS8
IBC_Freq_SS8
SBC_Freq_SS8
TBC_Freq_SS8
BCC_Freq_SS8
CCC_Freq_SS8
ECC_Freq_SS8
GCC_Freq_SS8
HCC_Freq_SS8
ICC_Freq_SS8
SCC_Freq_SS8
TCC_Freq_SS8
BEC_Freq_SS8
CEC_Freq_SS8
EEC_Freq_SS8
GEC_Freq_SS8
HEC_Freq_SS8
IEC_Freq_SS8
SEC_Freq_SS8
TEC_Freq_SS8
BGC_Freq_SS8
CGC_Freq_SS8
EGC_Freq_SS8
GGC_Freq_SS8
HGC_Freq_SS8
IGC_Freq_SS8
SGC_Freq_SS8
TGC_Freq_SS8
BHC_Freq_SS8
CHC_Freq_SS8
EHC_Freq_SS8
GHC_Freq_SS8
HHC_Freq_SS8
IHC_Freq_SS8
SHC_Freq_SS8
THC_Freq_SS8
BIC_Freq_SS8
CIC_Freq_SS8
EIC_Freq_SS8
